==========================================================================================
  HUAWEI FIRMWARE ROOTFS BINARY LIST
  Source: https://github.com/Uaemextop/realfirmware-net
  Extracted from: HG8145V5, HG8245Q, HG8247H5, HG8247H
==========================================================================================

Binary Name                    Path                            Size  Models  MD5
udp_echoc                      /bin/udp_echoc                17,692      1  464f981fc80d9bf6137ce6c14f06fdd0
udpsvd                         /bin/udpsvd                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
umount                         /bin/umount                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
uname                          /bin/uname                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
unlzop                         /bin/unlzop                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
unzip                          /bin/unzip                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
upgradematch                   /bin/upgradematch              9,556      3  423eee0fb93342d7b9b22d4a2fc05e35
upnpd                          /bin/upnpd                    87,816      4  39474cbbc748d84d5cfc67b72f8f6c20
uptime                         /bin/uptime                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
usb_mngt                       /bin/usb_mngt                166,836      3  3e91b9ba75de10e84249994c1e78c041
usb_resume                     /bin/usb_resume                9,500      4  4c94b0c7bff9e133312d0efe2b042425
user_choice                    /bin/user_choice              13,620      3  ea945fe13736521bd3ca0d5bcfa9bfc9
usleep                         /bin/usleep                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
vi                             /bin/vi                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
voice_h248sip                  /bin/voice_h248sip         1,317,860      4  0f36946ee0c171365e326fe2e5429784
wap.ssp.dmsg                   /bin/wap.ssp.dmsg              9,532      1  4d1904f54a2ad1a09df4c06175c72eee
wap.ssp.dproc                  /bin/wap.ssp.dproc             9,500      1  6d82c916c9ed37ebe0e48cf1d6715199
wc                             /bin/wc                    2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
wdctl                          /bin/wdctl                     7,900      3  9133195ad712a879380139f0ee746e93
web                            /bin/web                     349,876      4  349725e821556780583a7ed33e26e612
wget                           /bin/wget                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
which                          /bin/which                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
whoami                         /bin/whoami                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
wifi                           /bin/wifi                     26,124      4  eccdcc513f95c6a27fb39ccd171d8ac8
wificli                        /bin/wificli                  55,268      1  a026f11734dda5da255cdf9af4206ed2
wifidog                        /bin/wifidog                 117,356      3  a7a067fac436e1034a1ed2a3e29e0faf
wifitool                       /bin/wifitool                 91,360      1  3663a35441bd11dfc24f912ed731a9ca
wl                             /bin/wl                      425,200      2  1c8c5cf052b2fd018f7a4be8ecfc9c26
wlancmd                        /bin/wlancmd                   9,564      1  7e15973b5c56008a6acbb0b49e3629d6
wlanconfig                     /bin/wlanconfig               50,500      1  6827c736690d07c367414e2a66e76e52
wlconf                         /bin/wlconf                   90,888      2  2276157558e85b219f1e5b54f36b901a
wpa_cli                        /bin/wpa_cli                 133,560      1  7cff934fc78ac64a7775247a5b75c56a
wpa_supplicant                 /bin/wpa_supplicant        2,207,644      1  2f0beaea10f010c23819cb9ed2d26071
wps_monitor                    /bin/wps_monitor             302,716      2  41e8935e9790aaccd7ecdae8bfe0b54b
wpscmd                         /bin/wpscmd                   23,080      2  03c3eb128586b4ef59cd50b0b3ed4b3e
wrapd_qca                      /bin/wrapd_qca                66,844      1  39fb34ef7ee6be84465d2679a3deef78
write_proc                     /bin/write_proc                5,404      4  0844e1c968f569866c743a2f33ebe56f
wscd                           /bin/wscd                    196,532      1  8ce1edc9de6f7d227ddf1e5bf225b147
xargs                          /bin/xargs                 2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
xl2tpd                         /bin/xl2tpd                  113,772      2  04ce0432aa955179e81b339ca7ba3e49
zcat                           /bin/zcat                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
arp                            /sbin/arp                  2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
blkid                          /sbin/blkid                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
busybox.suid                   /sbin/busybox.suid            79,044      1  62472251de850659511762f7d2d110d7
chroot                         /sbin/chroot               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
depmod                         /sbin/depmod               2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dhcprelay                      /sbin/dhcprelay            2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
dnsmasq                        /sbin/dnsmasq                218,188      4  0da154aeb9cb2ca5a0c72e8745c94ecb
fdisk                          /sbin/fdisk                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
get_feature_spec               /sbin/get_feature_spec         9,500      1  7e78aa8ea44bf1c2ef40ac746f259122
getty                          /sbin/getty                2,124,608      3  90274f367b58bd76eaf850f4a4ee2352
